length,digits,hyphens,brand_sim,suspicious_tld,keywords,domain,label
20,0,0,0.32,0,0,aakrutisolutions.com,legit
18,0,0,0.3333,0,0,delhiescortsncr.in,legit
13,0,0,0.3333,0,0,alibaba.co.uk,legit
9,0,0,0.0,0,0,kh.edu.tw,legit
14,0,0,0.4286,0,0,layworld.co.jp,legit
11,0,0,0.375,0,0,htvront.com,legit
11,0,0,0.1818,0,0,feesmy.cyou,legit
6,0,0,0.3333,0,0,kmc.si,legit
18,0,0,0.3,0,0,beautybooth.com.bd,legit
16,3,0,0.381,0,0,carsstore365.com,legit
9,0,0,0.4,0,0,vidoco.vn,legit
18,0,0,0.4348,0,0,vedantalimited.com,legit
13,0,0,0.4706,0,0,gambleline.nl,legit
24,0,0,0.3478,0,0,rpcwtestsolver.pages.dev,phishing
12,0,0,0.4286,0,0,crfrs.org.br,legit
12,0,0,0.4444,0,0,monografi.ru,legit
12,3,0,0.3529,0,0,nusan910.com,legit
22,0,0,0.3333,0,0,interiorhomescapes.com,legit
14,0,0,0.375,0,0,xiaoshenke.net,legit
16,0,0,0.3529,0,0,fexcodccapps.com,legit
20,1,1,0.2727,0,0,bouncing8ball-ph.com,legit
8,0,0,0.2,0,0,burga.pl,legit
13,0,0,0.375,0,0,ivyenglish.kr,legit
14,0,0,0.5,0,0,rinatstore.com,legit
10,0,0,0.4,0,0,ndrive.com,legit
7,0,0,0.4444,0,0,rapz.ru,legit
16,0,1,0.2857,0,0,mcp-hybec.com.cn,legit
10,0,0,0.4,0,0,rouses.com,legit
18,0,0,0.4211,0,0,merloninoglia.shop,legit
15,0,0,0.5556,0,0,mailercloud.com,legit
17,0,0,0.4286,0,0,takealot.delivery,legit
18,0,0,0.4348,0,0,rooftopdefense.com,legit
12,0,0,0.4286,0,0,elksport.com,legit
16,0,0,0.2857,0,0,cougargaming.com,legit
19,0,0,0.3333,0,0,boomerangkazino.com,legit
16,0,0,0.3158,0,0,weighmytruck.com,legit
11,4,0,0.25,0,0,hsf2006.com,legit
19,0,0,0.0,0,0,www.borderclick.com,phishing
13,0,0,0.3333,0,0,radiowire.net,legit
21,0,0,0.3478,0,0,cellularoneonline.com,legit
13,0,0,0.5,0,0,lucklaser.com,legit
11,0,0,0.3077,0,0,ctci.com.tw,legit
14,0,0,0.4,0,0,elis.crimea.ua,legit
21,0,0,0.3478,0,0,cloudcommercetele.com,legit
8,0,0,0.4286,0,0,sytex.io,legit
29,0,3,0.4444,0,0,easy-bank-eta-inky.vercel.app,phishing
11,0,0,0.375,0,0,deseret.com,legit
10,0,0,0.5333,0,0,icesco.org,legit
20,0,0,0.4348,0,0,muscatmediagroup.com,legit
15,0,0,0.3,0,0,tilburytech.net,legit
22,0,0,0.3571,0,0,dynamicsourceliving.nl,legit
13,0,0,0.4444,0,0,jetplayer.net,legit
13,0,0,0.4211,0,0,jiaotizhan.cn,legit
18,0,0,0.4,0,0,cargillsonline.com,legit
18,0,0,0.3,0,0,sourcehorsemen.com,legit
22,0,1,0.2353,0,0,doc-ythvvbc.vercel.app,phishing
10,0,1,0.2857,0,0,tkk-lrt.ru,legit
21,0,0,0.3478,0,0,bespokethreads.net.au,legit
28,0,1,0.2941,0,0,recherchestipendien-koeln.de,legit
23,0,0,0.3077,0,0,bidvestburchmores.co.za,legit
26,0,0,0.4516,0,0,turkmenistanairlinestr.com,legit
19,0,0,0.3333,0,0,certifiedbrands.com,legit
14,1,0,0.125,0,0,nxf9wiiukb.cfd,legit
11,0,1,0.375,0,0,axa-fnc.com,legit
17,4,0,0.3636,0,0,mathcyber1997.com,legit
14,0,0,0.375,0,0,royalrapid.com,legit
14,0,0,0.4211,0,0,chanceraps.com,legit
20,0,2,0.2308,0,0,hhttps-www-roblox.co,phishing
17,0,0,0.5455,0,0,saportareport.com,legit
17,0,0,0.3636,0,0,qosconsulting.com,legit
16,0,0,0.4444,0,0,dataforce.com.au,legit
15,0,0,0.3077,0,0,uzashoes.com.br,legit
12,0,0,0.5455,0,0,adypu.edu.in,legit
17,0,2,0.3636,0,0,your-web-host.com,legit
11,0,0,0.3333,0,0,flazio.site,legit
14,0,0,0.375,0,0,ubtsupport.com,legit
8,0,0,0.3636,0,0,onion.io,legit
12,3,0,0.2857,0,0,raja717q.org,legit
13,0,0,0.4211,0,0,episaveurs.fr,legit
11,0,0,0.4286,0,0,imagerr.com,legit
10,0,0,0.4286,0,0,sugar.lgbt,legit
13,2,0,0.2667,0,0,genesis17.com,legit
9,3,0,0.1818,0,0,247bet.mx,legit
11,0,0,0.5,0,0,mooncat.com,legit
15,0,1,0.3529,0,0,file-upload.net,legit
11,7,0,0.0,0,0,4232332.com,legit
12,2,0,0.4286,0,0,45casino.cfd,legit
14,0,0,0.2667,0,0,digitalspy.com,legit
9,0,0,0.3333,0,0,libfox.ru,legit
14,0,1,0.4211,0,0,ntp-server.net,legit
9,0,0,0.4,0,0,jcalc.net,legit
17,0,0,0.3158,0,0,uttlsolutions.net,legit
18,0,0,0.4348,0,0,elazigsonhaber.com,legit
20,0,0,0.3077,0,0,zenvectorplatform.nl,legit
23,0,0,0.3571,0,0,speedwaymotorsports.com,legit
7,0,0,0.4,0,0,yoys.nl,legit
10,0,0,0.5455,0,0,altrec.com,legit
16,0,0,0.5556,0,0,unigrande.edu.br,legit
17,0,1,0.4,0,0,pianeta-calcio.it,legit
15,0,0,0.3529,0,0,eukanuba.com.ar,legit
18,0,2,0.2105,0,0,fuksi-kagk-u.ac.jp,legit
22,0,0,0.2857,0,0,asvezestempoazs.com.br,legit
14,0,0,0.4,0,0,wikicampers.fr,legit
15,0,0,0.3333,0,0,courierit.co.za,legit
17,0,0,0.3158,0,0,troikaapharma.net,legit
16,0,0,0.4444,0,0,betsncasinos.com,legit
10,0,0,0.4,0,0,ameise.app,legit
14,3,0,0.3,0,0,kolkata24x7.in,legit
23,0,1,0.4,0,0,pinupbet-sportsbook.com,legit
17,0,0,0.4211,0,0,congtogelnaik.com,legit
18,0,1,0.3333,0,0,heinrichs-agrar.de,legit
20,0,0,0.4348,0,0,outlooktraveller.com,legit
17,0,0,0.0,0,0,www.robiox.com.py,phishing
13,0,0,0.4444,0,0,ipandmore.net,legit
14,0,1,0.4286,0,0,g-group.global,legit
18,0,0,0.4167,0,0,osteuropaladies.de,legit
9,0,0,0.4,0,0,kartes.lv,legit
18,0,0,0.4,0,0,teenwolfonline.org,legit
15,0,0,0.3529,0,0,joyfootball.com,legit
26,0,0,0.3158,0,1,fakebooklogin.blogspot.com,phishing
17,1,0,0.1667,0,0,bah5szv.myrdbx.io,phishing
11,3,0,0.1538,0,0,b2q8n4k.com,legit
10,0,0,0.2667,0,0,knajfi.com,legit
15,0,0,0.3529,0,0,peelschools.org,legit
9,0,0,0.5,0,0,notino.lt,legit
21,3,2,0.1739,0,0,xn--bb0bw4mh6loup.net,legit
12,0,0,0.2857,0,0,opadnscc.com,legit
51,1,2,0.24,0,0,crimson-meadow-6feeocumentpdflhonsfilesax.pages.dev,phishing
13,0,0,0.3333,0,0,limakshop.com,legit
14,0,0,0.4211,0,0,contactout.com,legit
13,0,0,0.3636,0,0,brasil.com.cn,legit
19,0,0,0.381,0,0,cruisecritic.com.au,legit
14,0,0,0.4706,0,0,videobuster.de,legit
9,0,0,0.2857,0,0,futur.eco,legit
10,0,0,0.2667,0,0,survie.org,legit
12,0,0,0.3529,0,0,acrartex.com,legit
10,0,0,0.4615,0,0,hagara.fun,legit
9,0,0,0.3636,0,0,rites.com,legit
10,0,0,0.4615,0,0,megbook.hk,legit
9,4,0,0.1818,0,0,av3715.ru,legit
12,0,0,0.3333,0,0,rosebikes.at,legit
9,1,0,0.1429,0,0,9xbud.com,legit
13,0,0,0.3333,0,0,getsharex.com,legit
29,0,1,0.4,0,0,efootball.konami-official.com,phishing
16,0,0,0.4211,0,0,fellowfellow.com,legit
23,0,1,0.4,0,0,people-incorporated.com,legit
13,0,0,0.3529,0,0,bakkerbart.nl,legit
10,0,0,0.2667,0,0,shehds.com,legit
13,0,0,0.4444,0,0,scarionnw.com,legit
22,0,0,0.0,0,0,www.xfinityrefunds.com,phishing
18,0,0,0.4348,0,0,telepicturestv.com,legit
15,0,2,0.3,0,0,chick-fil-a.com,legit
12,0,0,0.375,0,0,isabellas.dk,legit
9,0,0,0.1818,0,0,btbbt.com,legit
17,0,0,0.3636,0,0,norduserforum.com,legit
45,0,3,0.25,1,0,mannger-us-checcksupports-verrification.click,phishing
14,0,0,0.2667,0,0,nebuluxetv.com,legit
13,0,0,0.375,0,0,usercrowd.com,legit
9,0,0,0.2857,0,0,csumb.edu,legit
12,0,1,0.3333,0,0,win-rc.co.jp,legit
12,0,0,0.3529,0,0,biwacity.net,legit
25,0,3,0.4545,0,0,eng-ledgr-io-en.pages.dev,phishing
20,4,0,0.1333,0,0,c343c5.icefactory.cl,phishing
13,0,0,0.3636,0,0,provpn.online,legit
9,0,0,0.3636,0,0,wemail.no,legit
10,0,0,0.4615,0,0,ahbelo.com,legit
18,0,0,0.4348,0,0,livecasinomate.com,legit
13,0,0,0.4211,0,0,supershoot.eu,legit
14,0,0,0.375,0,0,spoilerplus.tv,legit
14,0,0,0.5,1,0,aviamoster.top,legit
26,0,1,0.3333,0,0,peduli-shopee.blogspot.com,phishing
13,0,0,0.3529,0,0,leukermeer.nl,legit
13,0,0,0.375,0,0,loveboobs.vip,legit
15,0,0,0.3,0,0,runfreefire.com,legit
